"username";"followers_20180607";"followers_20180614";"followers_20180620";"following_20180607";"following_20180614";"following_20180620"
"_ji36";13934;14392;15446;547;553;559
"_rl9";13090182;13156235;13198540;116;116;116
"_robbiekruse23_";28544;28584;28803;437;440;445
"10aguerosergiokun";9077198;9148947;9278023;94;94;94
"18andrecarrillo";873303;915596;977005;1379;1384;1384
"19smolnikov_official";11792;11969;14057;85;111;113
"22mignolet22";913536;919313;923524;266;269;269
"29salem";1027692;1035493;1038546;43;44;44
"3gerardpique";16474620;16503580;16533680;235;235;236
"a_godoy20";23063;26814;29973;196;198;201
"a.harit14";413592;464827;584043;223;223;225
"aaronmooy";66657;67270;68528;208;211;213
"abdallahelsaid19";532132;541485;566878;150;150;150
"abdiel_arroyo14";728;773;806;58;84;101
"abdullahishehu25";18371;19933;21705;2489;2298;1900
"abdullahotayf8";447214;449573;450519;41;41;42
"abedz";199517;202993;211130;85;85;85
"abelaguilart";236424;237391;240363;338;338;338
"achrafhakimi";1267905;1341945;1455542;636;636;636
"adilrami";297351;327084;331562;683;686;692
"adnanjanuzaj";1983926;1984885;1984350;165;166;167
"adolfomachado1985";3281;3737;4240;2010;2278;2567
"adriensilva23";351788;355231;357974;787;786;770
"ahmedfathi_24";617110;633653;660109;159;159;159
"ahmedmusa718";145540;151744;162348;222;222;217
"albertgudmundsson";13081;13650;25436;531;521;515
"albinekdal";67777;68082;69311;558;561;561
"aldocorzo";412034;452694;497161;491;483;476
"alexanderiwobi";888178;902982;923072;106;106;108
"alfredfinnbogason";46679;47616;87169;617;617;620
"alfredgom1s";26145;26910;27350;338;338;344
"alirezabeiranvand.official";6823;7068;7678;103;99;98
"alirezajb_official";780215;802177;885441;250;252;252
"alissonbecker";1130118;1195417;1508384;1092;1093;1093
"alvaroodriozola";43791;45836;47222;594;593;593
"ammrwardda";1377740;1406840;1455185;257;263;265
"andersanta11";121839;145874;170569;109;119;131
"andreaschristensen3";553977;554671;558352;294;296;299
"andrejkramaric";138943;140693;147654;332;332;329
"andresgua18";1041356;1055848;1119225;328;328;330
"andresilva9";1249080;1262154;1356748;332;333;333
"andresiniesta8";23303294;23471492;23611173;78;78;78
"andrew_nabbout";12712;13102;13913;99;99;99
"andypolo94";13593;14172;15192;615;609;606
"angeldimariajm";6102462;6192264;6285686;191;191;191
"anterebic";85487;86920;93559;244;247;250
"antogriezmann";16845316;16982827;17089585;12;15;15
"areolaofficiel";464470;472582;478260;212;217;218
"arongunnarsson";65647;69449;108603;840;847;853
"artem.dzyuba";176547;177135;204954;83;83;83
"artur_jedrzejczyk_oficial";1280;1389;1457;2126;2125;2125
"aussenrist15";2097394;2126363;2216554;341;341;343
"axelwitsel28";466987;469394;475665;387;387;387
"aymanashraf12";457662;468358;479501;250;251;250
"aziz_bouhaddouz";213789;222552;393362;259;259;260
